sku,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,url_key,base_image,small_image,thumbnail_image,qty,is_in_stock
TPTS_001,Default,simple,"Thuc pham tuoi song/Thit heo",base,Ba chỉ heo,"<p><strong>Đặc điểm:</strong> Ba chỉ heo tươi, phần nạc mỡ xen kẽ, thịt hồng tự nhiên, ít nước.</p><p><strong>Công dụng:</strong> Phù hợp kho, nướng, rang cháy cạnh, cuốn; độ béo giúp món ăn đậm vị.</p><p><strong>Cách bảo quản:</strong> Bảo quản ngăn mát 0-4°C và dùng sớm; nếu chưa dùng trong 24h nên cấp đông.</p><p><strong>Thời hạn sử dụng:</strong> 1-2 ngày (ngăn mát), 1 tháng (ngăn đông -18°C).</p>","Ba chỉ heo - tươi ngon",1,1,Taxable Goods,"Catalog, Search",155000,tpts-001-ba-chi-heo,/thuc-pham-tuoi-song/ba-chi-heo.jpg,/thuc-pham-tuoi-song/ba-chi-heo.jpg,/thuc-pham-tuoi-song/ba-chi-heo.jpg,100,1
TPTS_002,Default,simple,"Thuc pham tuoi song/Thit ga",base,Đùi gà,"<p><strong>Đặc điểm:</strong> Đùi gà tươi, thịt chắc, da vàng nhạt, ít mùi, phù hợp nhiều cách chế biến.</p><p><strong>Công dụng:</strong> Giàu đạm; phù hợp chiên, nướng, hầm, rang; thịt mềm và ngọt.</p><p><strong>Cách bảo quản:</strong> Ngăn mát 0-4°C; để kín tránh lây mùi; nếu để lâu hơn 24h nên cấp đông.</p><p><strong>Thời hạn sử dụng:</strong> 1-2 ngày (ngăn mát), 1-2 tháng (ngăn đông).</p>","Đùi gà - thịt chắc",1,1,Taxable Goods,"Catalog, Search",98000,tpts-002-dui-ga,/thuc-pham-tuoi-song/dui-ga.jpg,/thuc-pham-tuoi-song/dui-ga.jpg,/thuc-pham-tuoi-song/dui-ga.jpg,100,1
TPTS_003,Default,simple,"Thuc pham tuoi song/Trung",base,Trứng gà ta,"<p><strong>Đặc điểm:</strong> Trứng gà ta vỏ dày, lòng đỏ đậm, vị béo thơm.</p><p><strong>Công dụng:</strong> Bổ sung protein và vitamin; phù hợp luộc, chiên, kho, làm bánh.</p><p><strong>Cách bảo quản:</strong> Bảo quản ngăn mát 4-8°C; đặt đầu to hướng lên; tránh rửa trước khi cất.</p><p><strong>Thời hạn sử dụng:</strong> 10-14 ngày trong ngăn mát.</p>","Trứng gà ta - béo thơm",1,1,Taxable Goods,"Catalog, Search",42000,tpts-003-trung-ga-ta,/thuc-pham-tuoi-song/trung-ga-ta.jpg,/thuc-pham-tuoi-song/trung-ga-ta.jpg,/thuc-pham-tuoi-song/trung-ga-ta.jpg,100,1
THS_001,Default,simple,"Thuy hai san/Ca",base,Cá hồi phi lê,"<p><strong>Đặc điểm:</strong> Cá hồi phi lê tươi/đông lạnh chuẩn, thớ thịt cam, ít xương, béo ngậy.</p><p><strong>Công dụng:</strong> Giàu omega-3; phù hợp áp chảo, nướng, salad, sushi (tuỳ tiêu chuẩn).</p><p><strong>Cách bảo quản:</strong> Giữ lạnh 0-4°C và dùng trong ngày; cấp đông -18°C nếu chưa dùng ngay.</p><p><strong>Thời hạn sử dụng:</strong> 1 ngày (ngăn mát), 1-2 tháng (ngăn đông).</p>","Cá hồi phi lê - giàu omega-3",1,1,Taxable Goods,"Catalog, Search",289000,ths-001-ca-hoi-phi-le,/thuy-hai-san/ca-hoi-phi-le.jpg,/thuy-hai-san/ca-hoi-phi-le.jpg,/thuy-hai-san/ca-hoi-phi-le.jpg,100,1
THS_002,Default,simple,"Thuy hai san/Tom",base,Tôm sú,"<p><strong>Đặc điểm:</strong> Tôm sú kích cỡ đều, vỏ bóng, thịt chắc, vị ngọt tự nhiên.</p><p><strong>Công dụng:</strong> Giàu đạm và khoáng; phù hợp hấp, luộc, nướng, rang, sốt.</p><p><strong>Cách bảo quản:</strong> Bảo quản lạnh; nếu đã rã đông không cấp đông lại; nên dùng sớm.</p><p><strong>Thời hạn sử dụng:</strong> 1 ngày (ngăn mát), 1-2 tháng (ngăn đông).</p>","Tôm sú - thịt chắc ngọt",1,1,Taxable Goods,"Catalog, Search",215000,ths-002-tom-su,/thuy-hai-san/tom-su.jpg,/thuy-hai-san/tom-su.jpg,/thuy-hai-san/tom-su.jpg,100,1
THS_003,Default,simple,"Thuy hai san/Muc",base,Mực ống,"<p><strong>Đặc điểm:</strong> Mực ống tươi, thân dày, thịt giòn; khi chế biến không ra nhiều nước.</p><p><strong>Công dụng:</strong> Giàu đạm; phù hợp hấp gừng, xào, nướng, chiên giòn.</p><p><strong>Cách bảo quản:</strong> Bảo quản ngăn mát 0-4°C và dùng nhanh; cấp đông nếu chưa dùng trong ngày.</p><p><strong>Thời hạn sử dụng:</strong> 1 ngày (ngăn mát), 1-2 tháng (ngăn đông).</p>","Mực ống - giòn ngọt",1,1,Taxable Goods,"Catalog, Search",180000,ths-003-muc-ong,/thuy-hai-san/muc-ong.jpg,/thuy-hai-san/muc-ong.jpg,/thuy-hai-san/muc-ong.jpg,100,1
TPDL_001,Default,simple,"Thuc pham dong lanh/Gio-cha-nem",base,Cá viên đông lạnh,"<p><strong>Đặc điểm:</strong> Cá viên đông lạnh dai giòn, vị cá tự nhiên, ít bở; tiện lợi chế biến.</p><p><strong>Công dụng:</strong> Dùng cho lẩu, chiên, sốt cà; phù hợp bữa ăn nhanh cho nhà hàng/quán ăn.</p><p><strong>Cách bảo quản:</strong> Bảo quản ngăn đông -18°C; không rã đông rồi cấp đông lại.</p><p><strong>Thời hạn sử dụng:</strong> 6 tháng kể từ ngày sản xuất (tuỳ nhà sản xuất).</p>","Cá viên đông lạnh - tiện lợi",1,1,Taxable Goods,"Catalog, Search",68000,tpdl-001-ca-vien-dong-lanh,/thuc-pham-dong-lanh/ca-vien-dong-lanh.jpg,/thuc-pham-dong-lanh/ca-vien-dong-lanh.jpg,/thuc-pham-dong-lanh/ca-vien-dong-lanh.jpg,100,1
TPDL_002,Default,simple,"Thuc pham dong lanh/Xuc xich - lap xuong",base,Xúc xích hun khói,"<p><strong>Đặc điểm:</strong> Xúc xích hun khói thơm, vị đậm, lớp vỏ mỏng; phù hợp chiên/nướng.</p><p><strong>Công dụng:</strong> Tiện lợi cho bữa sáng, tiệc BBQ; dùng kèm salad, bánh mì, mì Ý.</p><p><strong>Cách bảo quản:</strong> Bảo quản ngăn đông -18°C hoặc ngăn mát theo hướng dẫn; luôn để kín sau khi mở.</p><p><strong>Thời hạn sử dụng:</strong> 3-6 tháng tuỳ điều kiện bảo quản và nhà sản xuất.</p>","Xúc xích hun khói - thơm đậm",1,1,Taxable Goods,"Catalog, Search",89000,tpdl-002-xuc-xich-hun-khoi,/thuc-pham-dong-lanh/xuc-xich-hun-khoi.jpg,/thuc-pham-dong-lanh/xuc-xich-hun-khoi.jpg,/thuc-pham-dong-lanh/xuc-xich-hun-khoi.jpg,100,1
TPDL_003,Default,simple,"Thuc pham dong lanh/Thit bo-be",base,Thịt bò cắt lát,"<p><strong>Đặc điểm:</strong> Thịt bò cắt lát mỏng, màu đỏ tươi, thớ thịt rõ, ít mỡ; dễ chế biến.</p><p><strong>Công dụng:</strong> Phù hợp nhúng lẩu, áp chảo, xào; cung cấp protein và sắt.</p><p><strong>Cách bảo quản:</strong> Bảo quản lạnh; dùng trong ngày nếu ngăn mát; cấp đông nếu chưa dùng ngay.</p><p><strong>Thời hạn sử dụng:</strong> 1 ngày (ngăn mát), 2-3 tháng (ngăn đông).</p>","Thịt bò cắt lát - mềm ngọt",1,1,Taxable Goods,"Catalog, Search",210000,tpdl-003-thit-bo-cat-lat,/thuc-pham-dong-lanh/thit-bo-cat-lat.jpg,/thuc-pham-dong-lanh/thit-bo-cat-lat.jpg,/thuc-pham-dong-lanh/thit-bo-cat-lat.jpg,100,1
TPK_001,Default,simple,"Thuc pham kho/Gao",base,Gạo ST25,"<p><strong>Đặc điểm:</strong> Gạo ST25 hạt dài, trắng trong, khi nấu cơm dẻo thơm, vị ngọt hậu.</p><p><strong>Công dụng:</strong> Phù hợp bữa ăn gia đình/nhà hàng; cơm ngon ngay cả khi để nguội.</p><p><strong>Cách bảo quản:</strong> Để nơi khô mát, tránh ẩm; đậy kín để tránh côn trùng; ưu tiên dùng muỗng khô.</p><p><strong>Thời hạn sử dụng:</strong> 6-12 tháng tuỳ bao bì và điều kiện bảo quản.</p>","Gạo ST25 - dẻo thơm",1,1,Taxable Goods,"Catalog, Search",198000,tpk-001-gao-st25,/thuc-pham-kho/gao-st25.jpg,/thuc-pham-kho/gao-st25.jpg,/thuc-pham-kho/gao-st25.jpg,100,1
TPK_002,Default,simple,"Thuc pham kho/Bun-mien-pho-nui",base,Bún gạo khô,"<p><strong>Đặc điểm:</strong> Bún gạo khô sợi đều, dai vừa, ít nát; dễ chế biến nhiều món.</p><p><strong>Công dụng:</strong> Dùng cho bún xào, bún nước, gỏi; tiện lợi dự trữ cho bếp ăn.</p><p><strong>Cách bảo quản:</strong> Để nơi khô thoáng, tránh ẩm; đóng kín sau khi mở.</p><p><strong>Thời hạn sử dụng:</strong> 9-12 tháng tuỳ nhà sản xuất.</p>","Bún gạo khô - sợi dai",1,1,Taxable Goods,"Catalog, Search",34000,tpk-002-bun-gao-kho,/thuc-pham-kho/bun-gao-kho.jpg,/thuc-pham-kho/bun-gao-kho.jpg,/thuc-pham-kho/bun-gao-kho.jpg,100,1
TPK_003,Default,simple,"Thuc pham kho/Hat kho",base,Hạt điều rang,"<p><strong>Đặc điểm:</strong> Hạt điều rang giòn, hạt to, thơm béo; ít vụn, vị mặn nhẹ (tuỳ loại).</p><p><strong>Công dụng:</strong> Bổ sung chất béo tốt và khoáng; dùng ăn vặt, làm topping salad, bánh.</p><p><strong>Cách bảo quản:</strong> Để kín tránh ẩm; bảo quản nơi mát; có thể để ngăn mát để giữ độ giòn.</p><p><strong>Thời hạn sử dụng:</strong> 6-9 tháng tuỳ bao bì và điều kiện bảo quản.</p>","Hạt điều rang - giòn béo",1,1,Taxable Goods,"Catalog, Search",125000,tpk-003-hat-dieu-rang,/thuc-pham-kho/hat-dieu-rang.jpg,/thuc-pham-kho/hat-dieu-rang.jpg,/thuc-pham-kho/hat-dieu-rang.jpg,100,1
TIB_001,Default,simple,"Tien ich bep/Do dung bep",base,Bộ nồi inox,"<p><strong>Đặc điểm:</strong> Bộ nồi inox sáng bóng, đáy dày, truyền nhiệt đều; phù hợp bếp gas/điện (tuỳ loại).</p><p><strong>Công dụng:</strong> Nấu canh, kho, luộc; tối ưu cho bếp ăn gia đình và bếp công nghiệp nhỏ.</p><p><strong>Cách bảo quản:</strong> Rửa sạch và lau khô sau khi dùng; tránh dùng miếng chà kim loại làm xước bề mặt.</p><p><strong>Thời hạn sử dụng:</strong> Sử dụng lâu dài; bảo hành theo chính sách nhà sản xuất (nếu có).</p>","Bộ nồi inox - bền đẹp",1,1,Taxable Goods,"Catalog, Search",990000,tib-001-bo-noi-inox,/tien-ich-bep/bo-noi-inox.jpg,/tien-ich-bep/bo-noi-inox.jpg,/tien-ich-bep/bo-noi-inox.jpg,100,1
TIB_002,Default,simple,"Tien ich bep/Chat tay rua",base,Nước rửa chén,"<p><strong>Đặc điểm:</strong> Nước rửa chén tạo bọt tốt, dễ rửa sạch dầu mỡ, hương dịu nhẹ.</p><p><strong>Công dụng:</strong> Làm sạch chén bát, dụng cụ bếp; phù hợp sử dụng hằng ngày cho bếp ăn.</p><p><strong>Cách bảo quản:</strong> Đậy kín nắp, để nơi khô mát; tránh ánh nắng trực tiếp; để xa tầm tay trẻ em.</p><p><strong>Thời hạn sử dụng:</strong> 24-36 tháng kể từ ngày sản xuất (tuỳ nhà sản xuất).</p>","Nước rửa chén - sạch dầu mỡ",1,1,Taxable Goods,"Catalog, Search",38000,tib-002-nuoc-rua-chen,/tien-ich-bep/nuoc-rua-chen.jpg,/tien-ich-bep/nuoc-rua-chen.jpg,/tien-ich-bep/nuoc-rua-chen.jpg,100,1
TIB_003,Default,simple,"Tien ich bep/Dung cu ve sinh",base,Bàn chải cọ nồi,"<p><strong>Đặc điểm:</strong> Bàn chải cọ nồi lông cứng vừa, tay cầm chắc; dễ làm sạch vết bẩn bám dính.</p><p><strong>Công dụng:</strong> Vệ sinh nồi chảo, khay nướng, dụng cụ bếp; tiện lợi cho nhà bếp và quán ăn.</p><p><strong>Cách bảo quản:</strong> Rửa sạch sau khi dùng, treo nơi khô thoáng; thay mới khi lông bàn chải bị tòe.</p><p><strong>Thời hạn sử dụng:</strong> Khuyến nghị thay mỗi 1-3 tháng tuỳ tần suất sử dụng.</p>","Bàn chải cọ nồi - tiện dụng",1,1,Taxable Goods,"Catalog, Search",22000,tib-003-ban-chai-co-noi,/tien-ich-bep/ban-chai-co-noi.jpg,/tien-ich-bep/ban-chai-co-noi.jpg,/tien-ich-bep/ban-chai-co-noi.jpg,100,1
